sla_compliance,avg_cost,churn,max_latency,avg_latency,p95_latency,p99_latency,severity,cpu_util,reward,pattern,reaction_time,over_provisioning,under_provisioning,settling_time,action_entropy,replica_fairness,composite,agent,seed,seed_idx,episode_idx
97.5,0.28446367959255553,43,20447.601960060634,463.4581377990856,13.620209996240359,18064.3353808407,17943.409949292927,0.4425525611029291,-32.3,steady,20.0,2.100694444444444,0.025,3.0,1.4663573531842804,0.9826928335110601,0.9875,HPA,1000,0,0
95.83333333333334,0.7229479738171514,48,36776.29404630741,1289.4812997180131,14.397106414575852,35421.50329600441,30518.325755905797,0.4493470433142878,-69.07000000000001,steady,12.333333333333334,2.135327380952381,0.03333333333333333,5.0,1.5561020123581162,0.9782386947941855,0.9230528406534734,HPA,1001,0,1
96.66666666666667,0.30099448658676475,53,33346.53917621394,793.8919422622911,14.473595424918578,28670.610220820574,23330.009099055293,0.4411869219384181,-46.13,steady,21.0,2.138611111111111,0.016666666666666666,4.0,1.6572907882669394,0.9793156363346487,0.9833333333333334,HPA,1002,0,2
96.66666666666667,0.3021311598512241,37,41170.253123024624,1008.8043478903855,13.847787915236491,34324.32583788924,29773.958649933295,0.4409418187850612,-42.68,steady,3.0,2.075,0.025,4.0,1.3814044789708566,0.979938659955961,0.9833333333333334,HPA,1003,0,3
96.66666666666667,0.24556929208513434,41,29396.833626103897,749.2036818610011,14.14462063126702,22900.340899739702,21980.878270800764,0.4446817879906079,-43.48,steady,17.0,2.0991666666666666,0.025,4.0,1.5697181981991597,0.9774554461519586,0.9833333333333334,HPA,1004,0,4
96.66666666666667,0.4965780638101814,34,25441.96085207998,616.5854110661853,14.738106815667965,19936.957874950946,18010.647495388832,0.434847960093359,-42.94,steady,10.833333333333334,2.1308333333333334,0.016666666666666666,4.0,1.302614972426189,0.9805008509603695,0.9833333333333334,HPA,2000,1,0
97.5,0.5328480013722836,51,22895.84301768968,510.0185821646189,14.457105110658759,19312.20894983283,19818.847217351202,0.4396837061071413,-33.82,steady,1.6666666666666667,2.119722222222222,0.016666666666666666,3.0,1.7501557747930838,0.9802226027397261,0.9875,HPA,2001,1,1
98.33333333333333,0.3000646171960391,34,11588.334958593656,182.78759266390676,13.456524199146452,9163.502911070562,10175.918934832109,0.4347807392768123,-21.79,steady,4.0,2.1041666666666665,0.016666666666666666,2.0,1.1485215155644783,0.9853913029133261,0.9916666666666667,HPA,2002,1,2
99.16666666666667,0.2611213628742708,27,3099.824948917973,36.00599068327883,13.53185521225032,16.34579980174038,2899.824948917973,0.4248425017511298,-11.18,steady,,2.0648611111111115,0.008333333333333333,1.0,1.2195721677640257,0.9887767169827549,0.9958333333333333,HPA,2003,1,3
97.5,0.3740944792379065,48,17998.752974453564,374.56682432479545,13.410886483755503,14284.518207541996,14402.73797294924,0.43799995407721026,-32.36,steady,0.8,2.0944444444444446,0.016666666666666666,3.0,1.5126184223122934,0.9852023496963429,0.9875,HPA,2004,1,4
96.66666666666667,0.429300955718028,53,30083.600654326863,701.1304680953473,14.218079616744284,28926.95169760305,20551.005859463825,0.4461614338883917,-45.12,steady,10.4,2.1107142857142858,0.025,4.0,1.698339958822796,0.9799004743021538,0.9833333333333334,HPA,3000,2,0
95.83333333333334,0.6324910869482754,63,42516.52712536483,1408.8082233919968,14.640411689544216,41839.314843791966,33388.63375857883,0.44703875967980694,-69.71,steady,7.333333333333333,2.1300099206349206,0.025,5.0,2.0706678758432737,0.9730606955784407,0.9791666666666667,HPA,3001,2,1
95.0,0.6483398577047318,55,35290.69010127411,1090.2571733981065,579.8205098857815,32978.50997942451,21411.620696488346,0.449640390794838,-65.29937178460024,steady,10.2,2.1173313492063497,0.025,6.0,1.7532473799494355,0.9734277167107277,0.975,HPA,3002,2,2
95.0,0.551780512232601,59,53101.91703150382,1751.8087217566174,16087.063096875117,44832.605782529135,34645.285656540036,0.4573389905113133,-73.16,steady,2.5,2.0675793650793652,0.03333333333333333,6.0,1.885828226447832,0.9724753044979381,0.975,HPA,3003,2,3
96.66666666666667,0.5439956202523529,43,24857.558151724275,633.3918049243015,15.038122331396476,23515.817692097975,18507.10768461649,0.44388573561678313,-45.97,steady,9.5,2.1466468253968247,0.025,4.0,1.502122496420057,0.9831668331668332,0.9833333333333334,HPA,3004,2,4
96.66666666666667,0.41484286607247683,52,37129.318947558386,857.0879181472244,13.620209996240359,28052.68784047746,25225.438294678584,0.4648474698757148,-51.21,diurnal,,1.97244708994709,0.025,4.0,1.6355364833283343,0.8533557710493286,0.9833333333333334,HPA,1000,0,0
94.16666666666667,0.6289323180292707,58,53038.552483534884,2284.754386682142,22497.48479870531,51451.43209487756,38802.96080392726,0.48150161613144327,-86.44,diurnal,,1.9650324906574907,0.041666666666666664,7.0,1.7385705705468237,0.8442518500665042,0.9708333333333334,HPA,1001,0,1
95.0,0.3885177060907176,58,43437.21813462038,1495.668670266596,5961.5379670676875,42283.55535589463,29523.00540286794,0.4731650188113079,-73.94,diurnal,,1.9986574074074075,0.03333333333333333,6.0,1.818351420765816,0.8510664722717209,0.975,HPA,1002,0,2
95.0,0.41543034479543306,49,47747.19206616079,1588.965046988443,8763.51975600011,47076.856700505785,31392.90555305591,0.4670763128609649,-71.42999999999999,diurnal,,1.9762400793650794,0.03333333333333333,6.0,1.8568824153728278,0.8459020498097082,0.975,HPA,1003,0,3
95.0,0.3465695654427299,52,47607.59810095519,1630.2966177786,15816.184436520756,44772.37801680422,32219.521460963948,0.4678609554935717,-72.89,diurnal,,1.9411177248677247,0.03333333333333333,6.0,1.8093190199743745,0.8461440068985341,0.975,HPA,1004,0,4
95.83333333333334,0.6919530397354986,49,35957.813752855815,1157.405162541718,16.81756542443313,33232.06439727228,27349.37136184451,0.46479378931198206,-61.22,diurnal,,1.9483101851851852,0.03333333333333333,5.0,1.6566930177743893,0.8529971413257103,0.9468950976393602,HPA,2000,1,0
95.83333333333334,0.7409917519083319,47,35600.6854841839,1135.1780732880445,14.86535285656827,30021.24616780289,26823.215022789656,0.47182572947910373,-62.32,diurnal,,1.9687830687830687,0.025,5.0,1.5487145495147296,0.8493730227866673,0.9091730113525653,HPA,2001,1,1
96.66666666666667,0.41661864205731053,39,18995.45366043569,406.20730684500813,14.227156535392204,15030.81418341608,11698.167827188936,0.45937250356042525,-49.88,diurnal,,1.9871626984126987,0.016666666666666666,4.0,1.3660243797123615,0.8630014679668659,0.9833333333333334,HPA,2002,1,2
97.5,0.31552164680641054,37,12123.76290265058,210.07325672763778,13.934051975292585,9253.990473101121,7806.67990541382,0.45595023863942513,-35.93,diurnal,,2.000496031746032,0.016666666666666666,3.0,1.334393454894823,0.8618512110726644,0.9875,HPA,2003,1,3
96.66666666666667,0.5455544488886137,44,27644.587065563723,751.1097847243256,13.770291331436415,26265.36297755443,22046.854113900503,0.4653533683832086,-51.050000000000004,diurnal,,1.9662698412698414,0.025,4.0,1.4991736659801407,0.8548861848965237,0.9833333333333334,HPA,2004,1,4
95.83333333333334,0.5862841410179039,57,45341.88540200587,1372.2577606055902,14.957002719797437,37456.4829653635,32507.027072220255,0.47179472653499416,-63.169999999999995,diurnal,,1.9973391654641655,0.025,5.0,1.6237241727892227,0.8521699774322347,0.9791666666666667,HPA,3000,2,0
92.5,0.5530751657171018,65,62251.86632346449,3291.608352370894,42631.26211198152,60433.038794087566,43567.59983054174,0.48709200339827985,-108.31,diurnal,,1.9522587828837827,0.041666666666666664,9.0,1.9071953567253541,0.8377391381293691,0.9625,HPA,3001,2,1
93.33333333333333,0.6587410318925083,56,51904.30237731931,2797.435711370806,39573.587982069286,51603.77247954988,41621.35317294995,0.4855297204512379,-96.72,diurnal,,1.9762599206349207,0.05,8.0,1.8443974856196743,0.8414716649506516,0.9599427959801218,HPA,3002,2,2
93.33333333333333,0.5956721438874671,70,62817.43352994668,3013.3419205896544,40284.299694807756,59586.33053866824,44861.520469726,0.4852308753927898,-97.08,diurnal,,1.9800526094276094,0.041666666666666664,8.0,2.104762582014754,0.8361121342336812,0.9666666666666666,HPA,3003,2,3
95.83333333333334,0.709894993804489,50,34595.769336851416,1167.8515329864276,15.980719398463407,33678.24827906454,27594.622296257567,0.4738273505314384,-63.24,diurnal,,2.004299843674844,0.03333333333333333,5.0,1.520512210834317,0.84973106776498,0.9330935945093676,HPA,3004,2,4
97.5,0.5973737271443667,56,21376.099260355208,488.2253932659926,14.311235743070739,19297.550100916946,18928.135658011626,0.5256188694556225,-52.4,flash_crowd,1.0,1.8695406271431811,0.025,3.0,1.5233728806803868,0.8327070015712102,0.9875,HPA,1000,0,0
95.83333333333334,0.9563661537043034,52,36879.2809988921,1161.9173049713102,15.09166709519341,34909.074505540404,27455.698107738157,0.6455841731916733,-80.07,flash_crowd,3.0,1.65839871471612,0.24166666666666667,5.0,1.4619033685166571,0.8942354694215027,0.7435003945864334,HPA,1001,0,1
96.66666666666667,0.5614294324277952,47,30018.20306353328,783.7218238201814,14.109911952937228,28584.26019019395,23021.449981536123,0.563484476882293,-64.39,flash_crowd,1.5,1.8048740739239126,0.025,4.0,1.202538013603096,0.8578483704542594,0.9833333333333334,HPA,1002,0,2
96.66666666666667,0.624404397025863,59,36794.91734392069,902.4709832656732,13.847787915236491,29374.574763144494,26582.25305664325,0.49217908044532555,-62.46,flash_crowd,,1.9999952274033157,0.025,4.0,1.6515957280574305,0.8137601475581245,0.9833333333333334,HPA,1003,0,3
95.83333333333334,0.5030209692711622,58,33210.93130092216,844.2253262583182,15.102322355170424,25179.713650724872,19825.166648552382,0.5108422125618871,-64.96836200395063,flash_crowd,,1.91490333060186,0.025,5.0,1.7387115538810807,0.8278823477061362,0.9791666666666667,HPA,1004,0,4
96.66666666666667,1.0257186236079157,58,24382.569861459928,605.8925311168165,14.358346431759063,17870.09676059066,17691.233558823253,0.5068422767800549,-63.04,flash_crowd,2.0,1.9332974792020845,0.025,4.0,1.608803588064972,0.8226602292619571,0.6943190074810905,HPA,2000,1,0
