,agent,pattern,n,sla_compliance_mean,sla_compliance_std,sla_compliance_ci95,avg_cost_mean,avg_cost_std,avg_cost_ci95,churn_mean,churn_std,churn_ci95,avg_latency_mean,avg_latency_std,avg_latency_ci95,p99_latency_mean,p99_latency_std,p99_latency_ci95,max_latency_mean,max_latency_std,max_latency_ci95,severity_mean,severity_std,severity_ci95,cpu_util_mean,cpu_util_std,cpu_util_ci95,reward_mean,reward_std,reward_ci95,composite_mean,composite_std,composite_ci95,reaction_time_mean,reaction_time_std,over_provisioning_mean,over_provisioning_std,over_provisioning_ci95,under_provisioning_mean,under_provisioning_std,under_provisioning_ci95,settling_time_mean,settling_time_std,settling_time_ci95,action_entropy_mean,action_entropy_std,action_entropy_ci95,replica_fairness_mean,replica_fairness_std,replica_fairness_ci95,reaction_time_ci95
10,Fixed-5,gradual_ramp,15,13.055555555555555,5.304859507238094,"[10.444, 15.722]",0.3580173269059832,0.08469356964493059,"[0.315, 0.401]",7.2,1.740279123753264,"[6.333, 8.067]",451794.28921862994,86693.13811165001,"[408961.467, 494533.415]",1178409.2220990385,145502.25553059118,"[1105983.590, 1250086.309]",1199095.7733310761,143049.536604209,"[1129507.348, 1269737.850]",515539.1893988765,69342.84083676008,"[481006.093, 549605.646]",0.9650482106620716,0.018044606414134884,"[0.956, 0.974]",-1091.2958650176806,69.44969933081174,"[-1124.833, -1056.517]",0.5652777777777779,0.02652429753619047,"[0.552, 0.579]",0.0,0.0,0.5358342722033591,0.09525776394091003,"[0.489, 0.583]",0.8955555555555555,0.048679656887749265,"[0.872, 0.919]",20.666666666666668,39.72524686009185,"[1.600, 40.533]",0.34875532241599605,0.0855989210570446,"[0.308, 0.389]",0.9933254133978371,0.003346598700809905,"[0.992, 0.995]",
11,Fixed-5,noisy,15,10.444444444444446,15.988794025552222,"[4.000, 19.669]",0.3580173269059832,0.08469356964493059,"[0.315, 0.401]",7.2,1.740279123753264,"[6.333, 8.067]",526980.3323789086,454871.8646046439,"[306667.096, 759618.533]",2403709.36459353,2042218.884064265,"[1465313.118, 3499776.469]",3275216.890803894,2813500.542838912,"[2000361.821, 4760867.130]",544296.0882371258,451653.07072996884,"[325401.296, 774344.334]",0.7779936246680995,0.07253149314569408,"[0.741, 0.813]",-1124.0761827298063,204.52207654164093,"[-1207.772, -1005.656]",0.5522222222222222,0.07994397012776111,"[0.520, 0.598]",0.20238095238095238,0.37083050375510174,1.1729383047283117,0.2280055187779951,"[1.063, 1.292]",0.5072222222222222,0.1311149784202307,"[0.442, 0.572]",77.73333333333333,54.01252059432498,"[51.187, 103.600]",0.34875532241599605,0.0855989210570446,"[0.308, 0.389]",0.9933254133978371,0.003346598700809905,"[0.992, 0.995]","[0.036, 0.405]"
12,Fixed-5,sawtooth,15,6.277777777777778,3.1633232140604535,"[4.778, 7.889]",0.3580173269059832,0.08469356964493059,"[0.315, 0.401]",7.2,1.740279123753264,"[6.333, 8.067]",765995.6317366412,218939.91793502413,"[656954.628, 873622.281]",3635449.2545120213,1061661.8249161919,"[3114757.536, 4166864.322]",5319395.558715682,1794091.352698335,"[4439559.137, 6198837.078]",810691.2175775593,208778.69020445365,"[707200.411, 913009.523]",0.9338087619184965,0.030890010783577643,"[0.918, 0.949]",-1179.3434597880037,39.59711734345464,"[-1198.530, -1159.128]",0.5313888888888889,0.015816616070302273,"[0.524, 0.539]",0.3333333333333333,0.5773502691896258,0.7034830609945418,0.12403752580279792,"[0.642, 0.765]",0.8155555555555555,0.0735215837725445,"[0.779, 0.852]",54.06666666666667,58.62650140223845,"[24.133, 83.870]",0.34875532241599605,0.0855989210570446,"[0.308, 0.389]",0.9933254133978371,0.003346598700809905,"[0.992, 0.995]","[0.000, 1.000]"
13,Fixed-5,steady,15,50.88888888888889,46.78817797140211,"[28.664, 74.279]",0.3580173269059832,0.08469356964493059,"[0.315, 0.401]",7.2,1.740279123753264,"[6.333, 8.067]",92820.98253972299,140097.4195060171,"[29196.391, 164736.943]",202894.3256255828,293489.76035954984,"[70797.421, 352961.518]",219502.292335977,315552.3322375745,"[77622.539, 381063.741]",96626.63781834781,137380.26260227239,"[34053.002, 166548.892]",0.8910512458867832,0.10332372881695875,"[0.837, 0.939]",-601.4239233611344,594.3783977144351,"[-881.668, -303.295]",0.7544444444444445,0.2339408898570106,"[0.643, 0.871]",0.0,0.0,0.9821937830687832,0.17008636231395424,"[0.900, 1.067]",0.5505555555555556,0.39296222740781617,"[0.351, 0.735]",61.857142857142854,60.365371049783356,"[29.070, 95.071]",0.34875532241599605,0.0855989210570446,"[0.308, 0.389]",0.9933254133978371,0.003346598700809905,"[0.992, 0.995]",
14,Fixed-10,diurnal,15,79.5,23.720846768793297,"[67.444, 90.446]",0.36665892056657123,0.08808303960844584,"[0.322, 0.411]",14.2,2.956832281827487,"[12.800, 15.667]",14112.966469761463,25242.10716711751,"[3020.362, 27626.292]",62248.498951526315,72564.22357312117,"[30333.191, 101070.935]",65266.46900813745,71136.36689955322,"[33882.976, 103430.433]",36884.012706199304,35015.45752284313,"[21625.638, 55453.026]",0.5952639069917034,0.09491352451368452,"[0.549, 0.642]",-254.3049855373966,294.84901780757065,"[-405.143, -118.588]",0.8975000000000001,0.11860423384396653,"[0.837, 0.952]",,0.0,1.8826715059631725,0.32596511527694383,"[1.720, 2.047]",0.19111111111111112,0.17762952647926716,"[0.103, 0.277]",14.0,24.61706725018234,"[4.333, 28.000]",0.44199187797614997,0.0539654675508479,"[0.416, 0.468]",0.9878131119015028,0.0035645563825973574,"[0.986, 0.989]",
15,Fixed-10,double_peak,15,12.999999999999998,16.21348155477361,"[5.665, 21.612]",0.36665892056657123,0.08808303960844584,"[0.322, 0.411]",14.2,2.956832281827487,"[12.800, 15.667]",270591.06866817863,249360.1094806428,"[148086.469, 395069.710]",900949.6724191239,877821.1665782512,"[472997.044, 1339804.221]",954262.4395320524,946178.797738508,"[501324.313, 1429556.275]",278343.4931918562,243797.11160726644,"[159507.900, 400128.019]",0.8470908243651963,0.05889630517424604,"[0.818, 0.876]",-1090.41126359401,210.54517697299863,"[-1186.005, -978.481]",0.5649999999999998,0.08106740777386805,"[0.528, 0.608]",,0.0,1.0517613936501264,0.18750793395570095,"[0.960, 1.146]",0.6061111111111113,0.10646123571044395,"[0.553, 0.658]",76.6,55.683801183878536,"[47.132, 100.245]",0.44199187797614997,0.0539654675508479,"[0.416, 0.468]",0.9878131119015028,0.0035645563825973574,"[0.986, 0.989]",
16,Fixed-10,flash_crowd,15,30.11111111111111,2.333049869403071,"[29.000, 31.222]",0.36665892056657123,0.08808303960844584,"[0.322, 0.411]",14.2,2.956832281827487,"[12.800, 15.667]",578619.2487732598,153468.9343141485,"[502103.794, 654275.474]",2813428.6180154947,968567.9735030716,"[2313679.118, 3284399.297]",3029530.9053318966,1059164.7957865375,"[2483242.388, 3545957.783]",822184.6729550186,195647.24340786037,"[722537.825, 917453.085]",0.8048796577838748,0.04914486611060825,"[0.781, 0.829]",-878.572105648864,29.58095425033535,"[-893.089, -864.172]",0.6505555555555556,0.011665249347015362,"[0.645, 0.656]",,0.0,1.1011230930379745,0.19197213193947246,"[1.006, 1.196]",0.5788888888888889,0.05426882917574157,"[0.552, 0.606]",3.4,1.4540583599999397,"[2.733, 4.067]",0.44199187797614997,0.0539654675508479,"[0.416, 0.468]",0.9878131119015028,0.0035645563825973574,"[0.986, 0.989]",
17,Fixed-10,gradual_ramp,15,39.55555555555556,10.800622165108782,"[34.222, 44.944]",0.36665892056657123,0.08808303960844584,"[0.322, 0.411]",14.2,2.956832281827487,"[12.800, 15.667]",146785.48889320478,72669.47645254138,"[111636.160, 183340.121]",568292.8889568093,190200.02498080625,"[476292.179, 661518.672]",581149.3208771629,190035.2604005766,"[488065.551, 675421.407]",229457.3039534986,80327.73064012598,"[190354.681, 269155.029]",0.8561739682836641,0.049044584000069336,"[0.832, 0.880]",-751.7492747512903,138.46620424793932,"[-819.996, -682.988]",0.6977777777777779,0.054003110825543925,"[0.671, 0.725]",0.0,0.0,1.0328668606939777,0.18444258438049313,"[0.942, 1.125]",0.6577777777777778,0.09324755128208902,"[0.611, 0.703]",21.333333333333332,29.482844083264684,"[8.197, 36.533]",0.44199187797614997,0.0539654675508479,"[0.416, 0.468]",0.9878131119015028,0.0035645563825973574,"[0.986, 0.989]",
18,Fixed-10,noisy,15,70.83333333333333,15.102165302545089,"[63.332, 77.946]",0.36665892056657123,0.08808303960844584,"[0.322, 0.411]",14.2,2.956832281827487,"[12.800, 15.667]",15326.79913233798,24433.818282339278,"[6887.997, 28921.871]",183700.88393882054,244146.02418178276,"[89567.034, 325216.764]",426417.8557091917,715608.8939392597,"[189236.730, 815331.347]",39903.358907850314,35922.61943622503,"[25758.414, 60096.522]",0.5463348522963055,0.06833746451630521,"[0.512, 0.580]",-356.54230757720745,185.26476892152377,"[-447.197, -268.140]",0.8541666666666666,0.07551082651272543,"[0.817, 0.890]",0.13333333333333333,0.3518657752744984,2.2093292807082987,0.34228859865714234,"[2.049, 2.384]",0.19666666666666666,0.07948245289030981,"[0.159, 0.237]",9.266666666666667,11.25970480878395,"[4.667, 15.067]",0.44199187797614997,0.0539654675508479,"[0.416, 0.468]",0.9878131119015028,0.0035645563825973574,"[0.986, 0.989]","[0.000, 0.333]"
19,Fixed-10,sawtooth,15,50.0,28.01466452719769,"[35.889, 63.556]",0.36665892056657123,0.08808303960844584,"[0.322, 0.411]",14.2,2.956832281827487,"[12.800, 15.667]",63528.41334068266,84237.87741045814,"[25393.024, 108279.294]",470094.1215923298,500756.81008548103,"[241041.923, 733471.526]",509552.3666362929,548363.4452359481,"[259690.111, 802606.301]",84171.48286717002,90413.37278455992,"[43828.450, 132260.019]",0.7597034922569876,0.07504053236825638,"[0.722, 0.796]",-609.7150739501462,367.5612944371555,"[-795.149, -431.756]",0.7499999999999999,0.14007332263598846,"[0.679, 0.818]",0.25,0.5,1.372231583947528,0.24145918278919376,"[1.253, 1.493]",0.4566666666666667,0.14268541265359602,"[0.386, 0.527]",4.2,6.699680162941683,"[1.800, 7.733]",0.44199187797614997,0.0539654675508479,"[0.416, 0.468]",0.9878131119015028,0.0035645563825973574,"[0.986, 0.989]","[0.000, 0.750]"
